timehrs,samplenames,beads,total cells,gen0,gen1,gen2,gen3
19.5,3,1,13374.39222,13374.39222,0,0,0
19.5,3,1,13100.77519,13100.77519,0,0,0
19.5,3,1,12904.31061,12904.31061,0,0,0
19.5,1.5,1,12073.64926,12073.64926,0,0,0
19.5,1.5,1,13256.88073,13256.88073,0,0,0
19.5,1.5,1,12076.33588,12076.33588,0,0,0
19.5,0.75,1,11352.08711,11352.08711,0,0,0
19.5,0.75,1,11877.96209,11877.96209,0,0,0
19.5,0.75,1,11936.46915,11936.46915,0,0,0
19.5,0.38,1,10799.16193,10799.16193,0,0,0
19.5,0.38,1,11644.52318,11644.52318,0,0,0
19.5,0.38,1,10811.9403,10811.9403,0,0,0
19.5,0.19,1,8935.251799,8935.251799,0,0,0
19.5,0.19,1,9685.314685,9685.314685,0,0,0
19.5,0.19,1,9983.427246,9983.427246,0,0,0
